Length,Elapsed Time,L1 Cache miss,L2 Cache miss,L3 Cache miss,Num of instructions
69632,18.665001,64725,60323,299,159376829
69760,18.710001,64234,61663,298,159684022
69888,18.747002,65282,60738,242,159955538
70016,18.775002,65334,65613,373,160299824
70144,18.807001,66252,65933,217,160614837
70272,18.843000,65842,65532,287,160853888
70400,18.885000,65936,60316,321,161194276
70528,18.931002,65810,60439,234,161539829
70656,19.072001,66363,64355,329,161943743
70784,18.995001,66302,65519,384,162280958
70912,19.040001,66722,62780,351,162588499
71040,19.080002,66651,65744,313,162760525
71168,19.068001,66927,65276,257,163100052
71296,19.142000,67139,63388,370,163316689
71424,19.340000,67102,65731,208,163662265
71552,19.200001,67330,63130,327,163919554
71680,19.233002,67641,63167,235,164304225
71808,19.273001,67408,69113,307,164569752
71936,19.341002,67202,71191,242,164921810
72064,19.334002,68087,64303,312,165171751
72192,19.395000,67693,67785,221,165596655
72320,19.615002,68037,65535,344,165872231
72448,19.456001,68360,66192,359,166193080
72576,19.629002,68715,67584,345,166426652
72704,19.530001,68532,71323,184,166678040
72832,19.626001,68813,66728,235,167008045
72960,19.650002,68945,69723,306,167329656
73088,19.703001,68930,66955,351,167634629
73216,19.694000,69486,69503,245,167931978
73344,19.727001,69619,67344,226,168384905
73472,19.752001,69493,65176,298,168769980
73600,19.802000,69887,72838,236,169096933
73728,19.875000,70110,68192,289,169512095
73856,19.924002,70323,65444,298,169816060
73984,19.941002,70587,65046,235,170142319
74112,19.957001,70792,71797,235,170409418
74240,20.030001,70969,71493,340,170878608
74368,20.141001,71365,68319,352,171154909
74496,20.158001,71159,73057,332,171517092
74624,20.127001,70917,68558,326,171720285
74752,20.162001,71219,71398,310,172069004
74880,20.171001,71587,71702,210,172382995
75008,20.229000,71974,73797,297,172608697
75136,20.253000,71592,70770,442,172974159
75264,20.292002,71772,67329,287,173348380
75392,20.665001,72465,70311,310,173655137
75520,20.425001,72421,71750,265,174028382
75648,20.423000,72374,76555,244,174205598
75776,20.495001,72910,74983,384,174553918
75904,20.502001,72757,73657,342,174832008
