Length,Elapsed Time,L1 Cache miss,L2 Cache miss,L3 Cache miss,Num of instructions
79232,56.095001,218885,218036,1526,508221485
79360,56.112003,218690,222909,1127,509117037
79488,56.865002,221058,227943,1281,510019630
79616,56.324001,222138,213615,897,510915182
79744,56.517002,222028,225965,1225,511810734
79872,56.707005,220214,235094,1624,512699110
80000,56.605003,221534,224653,1073,513608884
80128,56.787003,219531,217814,1242,514511476
80256,56.835003,222906,219274,1186,515414068
80384,57.321003,222926,230796,4560,516309621
80512,59.379002,223072,231996,1614,517212215
80640,57.588001,220759,231489,1801,518107766
80768,57.568005,225021,222530,1248,519003318
80896,57.914001,224719,215254,1801,519891833
81024,57.626003,223919,209218,1350,520794425
81152,58.181004,229771,229612,1800,521689977
81280,58.327003,228610,237250,1701,522585530
81408,58.224003,223896,237056,1411,523474043
81536,58.438004,230587,234198,2124,524369595
81664,58.552002,225183,235354,1932,525258107
81792,58.409004,226743,246485,1489,526146619
81920,58.672001,226947,238492,2120,527027670
82048,58.714005,226135,240939,1777,527951383
82176,58.711002,226368,261262,1638,528868054
82304,58.927002,229907,234105,2067,529784726
82432,59.263004,227864,237024,1350,530694360
82560,59.079002,231845,240891,2407,531611033
82688,59.234001,229265,238561,1589,532520665
82816,59.102001,228671,238505,1624,533430296
82944,59.485004,230563,257749,2219,534332891
83072,59.519001,230817,234808,1971,535249702
83200,60.061951,231912,234213,3113,536159334
83328,59.851002,231659,258163,1862,537068966
83456,59.505001,233154,228350,2472,537971559
83584,59.951004,233130,234424,1995,538881192
83712,59.925003,231488,240523,2151,539783784
83840,60.104004,230447,241945,1798,540686376
83968,60.235004,230325,244741,1964,541581931
84096,60.596004,233549,255320,2507,542498745
84224,60.087002,234117,243176,1901,543408377
84352,60.236004,233240,242432,2024,544318009
84480,60.200005,233444,245878,1918,545220602
84608,60.916931,235017,262130,2483,546130235
84736,60.490002,234576,248973,2016,547032827
84864,60.829002,236311,243599,1733,547935419
84992,61.006004,235563,254116,2299,548830973
85120,61.115002,239712,246418,1959,549740744
85248,60.997002,236784,254492,2306,550643336
85376,61.580002,238516,251795,6548,551545929
85504,61.167004,238055,255701,2452,552441482
85632,61.624004,238589,255785,2199,553344074
85760,61.383003,238167,250380,1842,554239626
85888,62.261963,241486,250946,2772,555135435
86016,61.760002,238906,261971,2051,556023668
86144,61.620003,240908,254126,2101,556940482
86272,61.779003,240372,245806,1731,557850115
86400,62.011002,241802,246282,2182,558759747
86528,63.419003,243283,257295,12978,559662341
86656,62.595001,239649,252468,2407,560571973
86784,62.119003,242725,272761,1816,561474565
86912,62.642002,244507,260226,2339,562377157
87040,62.237003,241200,258645,1872,563272711
87168,62.914978,246194,255967,2740,564182487
87296,62.745003,243780,267014,2303,565085074
87424,62.772003,245480,253435,2542,565987667
87552,62.872002,244395,260704,1949,566883220
87680,62.809002,245647,256135,2161,567785812
87808,64.359001,247421,266646,2294,568681364
87936,63.100002,247063,261133,2915,569576916
88064,63.320004,246575,256227,2288,570465291
88192,63.576004,247832,252326,2291,571375066
88320,63.291004,246177,278700,1624,572277658
88448,63.764004,248399,259648,2787,573180251
88576,63.705002,246741,264981,2330,574075804
88704,63.920002,249735,255130,3139,574978396
88832,64.025002,249723,268431,2383,575873948
88960,64.024002,248957,262299,2160,576769500
